hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi
ID,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012
10023,2325,592.3240792,2806.749402,2326.18904,2268.810216,2268.810216,2632.690083,3752.774124,5248.964966,4704.010232,4646.575582,4646.575582,7640.735975,7892.376052,8685.841288,8183.28681,8191.56848,8087.429175,10688.03355,11134.54914,11597.58888,11371.21417,11213.82284,12079.5545,12526.32861,9829.05009,9947.175031,10322.22148,9282.008301,8523.807915,8573.735409,8772.650018,7403.10746,8918.098454,7883.707705,9182.728671,7700.321216,7318.409395,7834.674675,8310.276191,8170.393401,8083.129507,7718.443676,7418.485194,7462.456316,7671.211655,7644.860791,7722.922009,6006.057192,5693.969808,4809.125648,5632.453792,4894.300943,4537.574583,3918.710249,3977.069739,3977.937643,3934.3622,3963.998872,4067.965745,3852.949912,3281.332428,2987.329019,3802.355423,3952.153599,4276.314864,3318.200801,2576.089205
11071,9554,1964.478738,1824.494413,1710.858611,2090.477303,2090.477303,2220.958463,2541.696349,3638.717107,3789.684689,4743.798821,4743.798821,4602.317031,6795.831816,8169.120342,5395.447841,7803.71505,8214.474307,5693.961999,5711.663305,3555.981368,3589.302367,3443.445391,3711.067093,2810.121945,2858.840352,2727.581147,2874.041826,2950.172203,1705.369519,1891.914482,2049.080246,2380.460733,1938.155884,2513.132688,1832.790801,1785.585668,1800.037192,2255.858256,2433.947615,1821.251658,1658.265552,4145.953994,3920.135231,4384.049289,5587.136081,4511.806937,5432.345569,5506.766207,5591.622749,4224.505407,4590.834219,3896.894296,3925.127837,3918.710249,4906.160517,4606.909382,4722.51326,5040.907435,6171.407018,6203.005876,5266.384518,5237.081072,5283.784327,5245.2989,5292.377702,5335.565557,5481.485706
12911,81,174.5878874,165.6920873,131.7451903,138.1472961,138.1472961,80.84539604,117.5295144,95.64517899,144.8312991,267.8986089,267.8986089,191.7475686,345.1711421,190.5429934,141.8624151,120.9217237,158.2134793,211.2786355,158.2642705,178.183874,131.0783463,128.7808928,151.6998857,135.4285311,108.8389294,161.3011918,113.238485,125.4281374,156.3883472,146.3930289,166.0760762,122.0214745,161.8456249,414.1955908,363.3589511,280.9138147,267.8748666,424.730384,380.3433339,461.0312632,3369.124369,5697.44988,6100.147644,6599.844473,6189.204102,6855.397168,6398.337969,6646.465293,6643.311555,6070.000812,6074.716695,6674.274164,7172.117312,8197.128384,6889.307507,6351.338482,8305.347594,7098.393972,7086.683902,5160.418219,7024.005217,6536.170974,6473.149435,7175.528371,8667.258216,8772.567445,6814.285743
631,259,337.6477056,364.4727562,408.5897963,553.2716147,553.2716147,584.8172421,1286.002524,1160.067866,995.1537394,1054.572754,1054.572754,2723.437047,3158.376736,3736.21257,3258.945789,3801.379157,2621.387077,3879.988333,4145.534527,4081.922498,4350.971108,4786.405566,4360.67029,6459.789454,9402.858234,4963.120984,5043.621324,5745.16861,6246.346712,6351.144807,5565.056541,6429.769903,6554.116269,6030.526777,6690.504306,6790.135351,6853.835123,7416.423303,7022.898535,7047.483668,7262.926402,9925.523707,9641.148681,7711.320397,8091.232731,9887.372186,8189.30297,8654.52472,10207.10358,8770.915079,10728.04378,11250.76499,9047.211235,11595.09946,11591.54837,10448.48901,11870.90747,11434.50906,12126.03975,12166.5131,11382.28173,11649.84856,12508.56632,11578.62886,12626.01422,11794.95606,11987.00276
955,12483,1964.478738,2917.359317,4002.128135,4716.842881,4716.842881,5876.890973,4610.586504,4658.058934,5306.844943,5938.90176,5938.90176,7640.735975,5552.465064,5291.539597,5373.456841,5427.748336,3886.413614,4676.560232,1324.318288,1375.05668,808.4589929,630.9488059,603.3604294,635.716548,487.8156991,364.2659887,402.4557977,511.908748,480.6321373,544.9105141,478.710527,509.0024772,503.9434663,404.7669369,411.317389,398.8468833,494.3525378,360.9410965,481.4255788,426.2536273,210.0678176,142.5980941,444.6823333,321.3162179,458.9710809,201.0957774,212.0410866,535.2660748,392.182013,547.4320358,459.2128502,462.7682432,422.8944735,427.6015073,222.6721492,220.9740785,593.9815838,236.2371265,218.6573459,174.8374255,176.7690027,213.1180712,227.8771555,176.5453553,219.545193,191.8098738,229.391449
1355,994,492.657533,979.5692724,889.7579671,1035.104648,1035.104648,767.0326039,1136.085129,1097.539547,1648.401536,1963.877309,1963.877309,1523.057482,1951.074417,2080.598474,2808.668272,4307.398357,2336.691126,2470.428822,2063.480846,2046.746199,2184.79347,2187.146684,1420.204729,1620.18796,2574.903658,2201.35835,1715.559547,1850.229308,1948.989905,2568.039875,1858.93531,1884.742943,1986.342392,2117.433026,2220.568658,1414.857553,776.309134,790.9915595,824.699314,1340.25255,1593.26387,1708.651997,2148.478268,1703.684283,2222.239025,3330.120324,4005.115954,5221.173701,7629.159886,7833.563008,8148.422154,8329.549824,8433.993826,4528.278268,2529.68008,2488.056953,3711.071649,3452.063561,3163.6341,3063.899716,2641.395713,2498.818079,2480.529253,2773.768247,2497.135201,2416.746443,2744.808173
1557,4469,1964.478738,2917.359317,2186.128936,3179.798899,3179.798899,3183.466403,7758.104984,5248.964966,7410.874529,8176.692991,8176.692991,7640.735975,15257.17142,14809.71591,14026.53134,13715.07952,11449.73719,7570.013898,6528.474295,5720.185681,5647.850592,4811.296985,4959.725872,5043.742263,5057.464053,6119.803333,5206.329906,7508.938029,6246.346712,8399.454656,6816.085221,5842.074371,6554.116269,9046.664435,9487.407835,7486.708371,5263.095827,4074.966862,4229.760545,5101.257214,4276.471184,5755.05684,5713.425019,5662.047401,5828.28955,7525.55056,6406.191186,12763.52908,18161.01091,5004.296619,6348.408758,7099.756022,8090.25348,11020.89882,11574.04195,8232.427535,9345.531303,11434.50906,11560.9447,12090.25133,12608.75126,19576.1488,19736.82517,9524.045109,12816.06499,12985.91622,13149.54154
1648,1136,1120.823449,993.719663,1397.763993,1633.687499,1633.687499,1850.534229,1630.385699,1908.682659,1509.767139,2226.27887,2226.27887,2617.205838,2848.924192,1895.208683,1705.813515,2145.935264,2121.737032,2416.2481,2121.842852,1557.104709,1693.620796,2211.84762,2121.555992,1517.374348,1677.916052,1849.9087,2319.543456,2343.028175,2363.512135,2971.563873,2970.5922,1670.034572,2012.418289,2455.545193,2144.563284,2157.877171,2510.65119,2081.521738,3215.056651,4055.004048,3456.640502,7053.783235,12149.84916,12497.51389,13149.95025,6889.987406,10990.82293,10129.91581,10300.18954,8770.915079,11361.19794,13567.43458,13563.86552,11887.14829,11724.11887,11459.48321,5001.654228,5064.690933,6719.083267,8589.590952,8685.06897,9523.365909,14383.6438,12275.45777,5375.608178,6120.806886,5327.753571
1770,17322,1964.478738,2917.359317,4092.2219,5099.029177,5099.029177,6563.845169,9006.864173,10054.61566,12253.42116,14878.47388,14878.47388,17446.07984,17092.44283,14809.71591,14485.54762,13715.07952,13226.11238,14512.89673,14997.12176,10239.63444,13815.82612,11337.88455,13727.66213,14718.14648,14031.09756,12430.02885,10322.22148,11753.70739,10509.65377,10752.81707,10956.84301,9393.645004,11144.48517,11161.0192,9715.093764,9590.052852,17708.91391,11765.0315,12018.64336,14764.37666,12350.6695,12360.658,15282.05389,15459.44337,13149.95025,11175.41921,10990.82293,13078.44456,20250.00194,13646.73811,17635.36751,14204.3189,8113.426648,7301.613122,6978.92652,6921.479416,7824.974994,7476.685218,8512.852465,7778.040091,7177.268863,7175.881882,8640.492164,8728.09338,8790.033318,8882.287894,7449.126566
1781,158,298.5263369,145.7621605,172.6807533,303.7516674,303.7516674,385.7311947,337.59275,473.3954495,629.4951996,658.0365408,658.0365408,1015.055069,1273.416971,1575.178885,1592.788151,1618.208282,2080.96098,2259.171955,3063.845472,2616.934729,2535.811378,2711.517187,3593.338126,2954.500172,3806.107247,3409.70006,3744.248856,4400.157876,4516.118839,4764.472954,4885.826749,3776.594972,4930.968633,5712.978006,6690.504306,5621.633653,5692.637003,5778.591195,5818.09992,7047.483668,9450.25076,9925.523707,12319.86126,10682.54634,11246.03689,13122.60323,13192.0436,13372.43456,13406.09801,11179.82107,11410.74482,11250.76499,11165.10417,26120.10584,20240.45702,11925.61414,13917.40141,12983.54215,14501.1048,13766.95464,12757.67688,14353.08641,12666.63174,11578.62886,12626.01422,14912.26021,13149.54154
