hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi
1822,1026,1570,958,1628,203,203,1262,1002,1414,1368,1356,1356,931,1356,1303,2280,4212,5435,5410,6464,8547,8088,8200,7544,9146,10163,9067,9152,8370,10207,9504,6907,7808,8058,11430,9881,9933,10296,9722,13652,13153,13787,12470,10367,17350,18350,18492,18635,14030,11900,16112,12013,10437,11333,7187,8559,7462,7365,7277,6588,5867,6868,6102,6643,7090,9254,8093
2094,0,0,0,0,68,68,33,37,35,82,56,56,207,232,387,608,658,513,399,441,751,719,1016,757,858,1423,1469,1201,893,655,879,819,888,1096,1332,1281,1159,960,1735,1795,3195,5365,7478,4781,8371,8332,7908,7024,10037,13011,11587,10048,25434,26578,42588,44595,41135,50426,46943,39819,37332,36369,37107,41529,85209,98640,98640
1918,2837,5724,10218,14949,16923,16923,109843,101802,119056,111928,141734,141734,151982,140949,62857,58809,51239,54883,67802,63231,59055,42958,42160,37428,37251,36655,31682,29033,32541,38320,33605,28596,35558,48260,60962,44852,44827,32625,28746,34588,33969,32161,33657,30777,22201,27525,28795,44373,25483,37604,28238,22457,26038,23980,24073,24069,21916,26083,24314,24288,38119,21462,18241,19726,18422,16990,15925
1969,0,0,0,0,0,0,0,124,70,92,53,53,436,252,401,467,868,869,530,461,636,517,601,515,563,381,394,577,519,440,9991,12301,7229,503,369,501,424,421,719,911,890,1020,612,519,1233,918,660,637,2645,6681,6328,4917,10057,11552,7510,10345,10790,9332,5503,3049,2069,1839,1086,1582,1109,677,535
2087,79,135,181,328,339,339,803,749,840,1059,1099,1099,1366,1423,1680,1578,1521,1190,1417,1223,1162,1686,2110,1755,2419,3933,3074,3493,2455,2329,2489,1893,2321,2668,4540,3735,3657,2973,2104,3996,3790,3564,7640,11717,4588,6659,7819,8296,5142,5276,9698,3947,4990,4199,5037,5101,7522,5612,11275,4647,6806,4580,3775,8972,10308,7818,2168
2155,265,285,421,978,1286,1286,2472,2441,2357,3235,4622,4622,5613,6601,10938,10092,8080,8675,10020,9366,14395,19255,23711,21686,31753,37777,35268,37840,32920,37191,35140,27312,28950,28095,36598,41013,40142,42743,46641,54747,42155,58450,52768,43374,42007,46305,46294,46455,47103,52228,48824,49181,49859,46903,39371,44589,45181,52684,52134,53692,55375,57058,44913,48135,46240,43804,42800
2544,1970,3162,2095,1949,2196,2196,3510,2866,3554,6894,7716,7716,10349,9791,9233,6896,6596,6907,6989,5910,5581,5889,4354,4047,3228,2035,1423,1375,1053,1055,1043,780,954,795,823,754,823,550,336,360,68,133,180,155,74,63,215,191,233,302,164,105,89,83,72,156,124,44,22,60,58,46,45,57,45,58,128
2601,0,0,0,0,0,0,0,0,0,182,2382,2382,5375,5823,8325,10443,10414,13237,17010,16230,20032,24150,34516,34048,36720,46266,41959,47897,54082,63170,69984,65056,79585,90303,105137,115321,123104,138328,154109,178105,176542,229330,238771,216512,231321,267889,288980,306983,300474,402159,310401,309294,332407,348547,330488,364828,359673,418229,427611,426985,424517,377875,331234,335102,351366,354084,333504
2810,2067,2171,1910,2047,2326,2326,2942,3382,2405,3387,3757,3757,4655,5790,6835,6776,5382,4014,4622,4000,5387,5720,6281,6138,7459,8735,8495,9501,10507,6273,7971,5508,6035,6432,8208,4931,4187,5746,7576,7460,4946,5454,5398,5259,4078,4459,4929,6182,3827,5025,4296,4991,4685,4342,5617,6184,6266,5868,4656,5405,6557,7377,7913,7465,9648,6175,6946
2902,0,0,0,0,0,0,0,0,92,108,58,58,48,15,23,46,52,83,717,1164,1294,4068,5035,4993,7417,9538,3811,3446,3245,2966,4687,4371,4838,6512,7269,5333,5471,4374,5199,7469,8355,10278,10423,9200,8372,9136,9619,8307,3520,3155,4097,2145,1811,1553,1430,1266,1485,1393,1371,1032,743,999,1199,987,762,926,1051
3252,15,9,6,12,9,9,30,24,57,72,28,28,180,146,150,497,1715,1977,2247,2603,2326,5441,6518,6447,7868,9947,3905,3554,3076,2774,4911,4783,5078,6540,7137,6516,7241,5142,5784,8515,9249,11675,11877,10543,9707,11816,12983,15981,10904,14860,14964,15270,15577,14991,11268,13995,13366,9685,12986,9636,8052,9573,6564,4591,5497,6607,5319
3280,0,0,0,0,16,16,162,1073,4598,5625,9107,9107,10259,8656,7495,6729,5899,5786,8336,6300,7040,8274,11711,11318,14942,18443,19586,15649,24802,26557,21130,25328,28064,23349,44185,49167,53726,49231,55271,68354,68514,78661,78014,69139,110658,110743,112239,113860,106131,108027,91228,87826,100089,96339,80118,87175,85772,100548,100065,94941,91225,96206,94477,101459,99150,95349,97208
3378,141,166,230,133,235,235,342,348,12067,17685,23304,23304,983,694,763,1246,4121,6469,7645,8320,6850,5891,9807,3970,5192,3467,1948,2078,2194,2176,14771,1585,2002,1463,9897,13201,9948,2924,2798,3360,3761,4247,5062,3702,5059,5701,5478,5200,6030,7808,9255,10777,12670,13682,14503,9787,10241,8723,9387,10585,9548,12696,10157,11432,10982,10387,8759
3394,9584,12897,13361,12359,13115,13115,12390,10892,11693,12197,11992,11992,10786,10142,10539,8459,4398,3498,1649,901,1278,1495,1099,924,1362,1063,961,707,796,966,1548,694,628,1222,1199,2012,1116,1019,1537,5162,8957,12444,8636,3823,3759,4028,7508,4976,3905,5099,4915,7431,8272,9113,9439,9975,9391,10000,9650,10919,13501,15117,13757,12411,18026,15327,12601
3418,5631,5075,4253,6434,3961,3961,2164,1987,2501,3560,2733,2733,2158,2336,4858,4307,4116,3499,1661,1708,2787,1460,1496,1318,1481,3145,2292,2070,4184,6715,6018,5669,7192,8715,5017,4018,3334,3943,5811,4489,4286,2513,2300,1930,1926,2312,2223,3624,1915,1848,2587,2312,3083,2951,2661,2111,1881,2363,1740,2330,2246,4468,5057,5234,4728,5680,7598
3425,375,305,2150,2760,2849,2849,3366,2556,3547,4629,5828,5828,7467,7289,6141,10824,9673,9365,10410,8588,9305,7936,8814,6809,7998,7875,6859,9213,5690,5971,5833,4670,6489,6438,7534,7392,7152,8560,8703,9238,9975,9107,8239,5575,5445,4611,5040,5862,4758,5301,4846,4806,5098,4497,3549,4445,4107,4410,3941,3941,4191,4286,3844,3772,3756,3319,2664
3442,5109,4862,6397,7396,7384,7384,9852,8437,10029,9070,8237,8237,7445,6255,7931,8143,7329,7223,7213,7136,6931,8016,7701,5851,7115,7426,9033,6379,6454,10493,10831,6248,7619,8708,7994,6175,6032,5927,5631,6523,7019,6500,9204,8128,10273,6361,5669,11306,5702,7861,6535,6179,7379,4797,3943,5089,5290,5012,4149,4877,5086,5341,7889,7461,8779,9230,5071
3883,0,0,0,18,2863,2863,7193,10529,13623,45471,93373,93373,73046,76978,76268,96402,102784,121385,139782,128408,156673,151964,161869,143879,139399,137758,129545,122087,166073,149623,164702,141289,173995,148597,161368,131251,126346,128123,125985,149829,152543,220304,167676,160633,177185,205333,189767,195523,172677,179008,211810,239254,260848,227955,305862,347981,324147,346752,319701,292650,291007,278501,268975,297101,390524,262983,205724
3925,0,0,0,0,0,0,0,0,0,50,203,203,54,65,88,119,257,333,498,825,1048,1220,2028,2170,2071,1920,2464,3665,4849,6698,6210,5319,6945,6212,13662,10187,9704,11081,14568,16443,16787,20153,23519,24507,25234,34593,47492,38110,35318,39836,38094,35944,44924,38178,39126,77474,54051,70186,87823,85047,90344,84123,77903,65103,60944,50789,57648
4076,2731,3261,3802,4716,5874,5874,7332,6704,5721,4243,5249,5249,5592,7165,6231,10830,8942,10478,11867,11435,9515,7595,6352,5219,7364,8711,8884,10061,11216,11853,10401,7410,12056,10979,12698,9703,8745,9146,9098,9880,9102,11953,10011,7876,8251,9149,9399,9091,8852,10399,10873,9554,12314,9547,7596,9852,14268,11773,10353,9654,8504,10094,10739,10205,13240,11912,10022
4378,1547,2269,2402,2296,2630,2630,3463,2915,3921,3132,3937,3937,4907,6043,7971,10825,10578,14780,23588,20659,25298,23897,27489,19107,25458,26647,25507,24754,25587,32843,39153,31729,37554,38999,48355,50611,50562,54699,58233,49118,50933,153881,71745,52604,53888,69642,69608,72523,51209,63974,72822,61731,67387,61602,52597,66779,62049,70988,73246,66241,72656,83991,71727,75182,78895,78258,62308
4496,0,0,0,0,0,0,0,1473,5470,9209,15578,15578,21409,20371,19333,21243,21615,18037,19533,16900,18144,21119,19206,17729,13510,12438,11130,10278,9165,8850,8761,5753,6132,5183,5962,5229,6795,6559,8033,8633,8697,11686,10025,9637,8314,8658,7294,7352,5946,5241,4409,3707,3894,3892,3023,4459,4296,4496,4136,3881,3944,5475,5880,5452,5681,5384,4837
4719,81749,78744,76769,61263,63517,63517,43223,27782,29058,28832,45671,45671,21759,27512,10965,9417,11660,12135,10180,5276,6189,7057,8766,7759,5818,6372,6896,10836,9542,10759,18908,23702,20907,19655,13233,6139,15385,27644,29470,28985,27505,28468,27290,28481,25075,28294,31900,28338,26060,28043,28578,26373,23448,1706,1454,954,1154,1062,730,2660,695,859,555,533,4418,342,325
4891,611,862,847,805,899,899,799,697,732,928,958,958,909,1118,2344,4948,4767,6156,5240,2852,2165,1902,2929,3003,2444,3244,3005,3570,3670,3919,3555,3319,4998,4571,12567,15475,17706,19937,6835,7368,4598,2778,1487,1208,1436,1613,1543,2541,1495,1646,1582,1671,1665,2111,1183,1768,10088,4489,2823,2151,2107,2424,2818,2890,2906,2742,2234
4931,1607,2164,1518,1519,1960,1960,2647,2509,2413,2871,3662,3662,3402,3228,4572,5376,6046,6631,6780,5792,8309,7855,7351,6179,6560,6627,7295,8768,8094,11587,9877,7086,6934,8755,10023,8473,8223,12837,12372,12444,11776,11484,10038,8243,10093,10167,18154,23368,22244,32419,32415,30637,32196,29400,25520,25878,24621,28581,50102,39966,29831,29195,24345,24700,30249,23834,20413
4973,0,0,0,0,0,0,0,52,43,31,71,71,70,151,90,355,466,364,314,229,317,334,844,869,831,1345,1460,1606,1266,2521,2955,2665,7726,6402,8939,9886,14562,15906,12540,10206,10269,11005,12549,10707,8974,8463,8588,11584,10461,13936,10386,12339,15201,18064,18351,18195,21166,16256,13933,14759,13178,14278,13039,14131,13923,11995,8795
4986,953,1308,1180,1577,1560,1560,1718,1462,1753,5764,7642,7642,8792,9494,8756,8038,7726,10979,12478,12582,11964,21519,12319,3810,5074,4637,5132,7904,7747,7809,8734,6325,7255,7141,9207,10727,12692,14274,13428,15126,16435,22294,33312,30972,12941,16000,12632,14122,17828,21804,16319,13178,38402,63627,8081,10326,11612,13994,25302,23457,22361,36883,25999,19655,21526,16991,14432
5018,7831,8900,11365,10217,11121,11121,9813,12720,15390,16184,22065,22065,22950,27179,26327,25982,25638,25730,19433,4866,4495,3752,1697,446,565,1034,1103,2063,2091,2031,910,1127,1999,2044,1750,2014,1784,1422,1445,138,64,82,60,148,130,55,202,128,142,200,127,81,82,101,67,132,69,37,41,67,61,60,34,88,81,70,146
5037,730,1014,548,744,359,359,799,645,1303,1482,2415,2415,2158,1294,1120,1611,1672,2334,1937,1638,1964,2044,2572,2460,3376,2422,3044,6970,3858,4809,5178,6753,4567,5039,6366,6669,7893,6362,7930,10707,11971,10108,9677,6913,8804,9672,10667,10754,9794,11386,13151,9532,9277,10144,9635,11073,12305,14150,10498,10241,10811,13127,12250,13479,12414,15857,15857
5073,1800,3808,6281,10331,15537,15537,35792,38561,37198,45584,46389,46389,47194,38098,31243,31515,30471,32454,32962,27160,26599,25214,32492,25931,28661,29606,28533,31990,29912,29254,24172,19380,23102,21456,21772,22868,20646,18675,19064,17603,16928,18898,17285,13909,13626,12583,13253,13942,11609,13592,12948,10227,8686,7581,7075,7943,7815,8201,7558,6381,6093,5986,5608,6178,5829,5746,5370
5074,1770,3610,7378,14410,16205,16205,35159,37586,37223,44385,45408,45408,46431,37944,29880,28845,24999,28345,29960,24459,24704,23477,30328,24047,26473,27203,26436,29386,27770,29012,23126,19156,24283,22163,21301,22332,20146,18093,18464,17068,16763,18586,17130,13618,13638,13229,19362,14840,12412,13653,13042,10266,8665,7558,7114,7902,7819,8146,7520,6407,6126,5962,5594,6205,5838,5722,5369
5878,0,0,0,0,259,259,626,870,1254,2190,3369,3369,7264,6593,6174,5916,5788,6328,7300,8510,9946,8886,8061,7236,9838,9478,9490,10351,10941,13908,12931,8412,11073,13276,18915,18254,18688,17331,15613,16480,13611,18633,17312,13163,15214,17339,17012,16940,16392,26826,19481,23159,31799,29344,20143,35864,33620,19264,26102,18950,17393,18163,18075,22792,23856,20815,16284
6333,4491,5829,8379,8523,7600,7600,7438,6440,4358,4594,4372,4372,6667,8269,6006,6320,5049,4960,9087,3597,5527,7458,9822,7076,8762,8325,9402,10158,8389,10897,10287,6880,10426,10426,11714,11706,11673,12648,13623,13021,11777,12829,9196,6985,7929,8463,7660,8522,7292,6697,5286,5494,7351,6726,5415,6099,5896,6335,6155,5107,7896,9500,6849,6108,5716,5988,5457
6339,4408,5549,4824,5337,5352,5352,4863,4764,4119,5638,5737,5737,5165,5179,4493,5393,5693,5639,6060,4800,4526,5308,10112,7309,8342,10212,9561,7894,8811,8914,9018,5514,6428,4957,7290,4407,3043,3505,3478,3141,3033,3133,2549,3365,1853,2007,2269,2003,2060,2024,2222,3658,3015,2539,2039,2798,2941,3342,2900,2996,3117,3211,2992,3918,4042,3778,2887
6352,0,0,142,118,120,120,100,351,407,172,209,209,816,742,734,578,1229,1466,1292,1368,1558,1775,1964,2251,1332,1598,1613,1698,2325,5450,5102,7178,7046,7074,6715,4404,6571,5955,8991,10693,13150,13788,13742,13295,14296,14208,13139,15902,15442,14373,10606,9282,10116,10299,9324,10585,9980,10229,9468,8937,8880,9246,9336,10605,9999,11281,9021
6555,0,0,0,0,0,0,0,0,0,893,1173,1173,91,40,34,80,1032,128,134,31,28,28,322,39,52,4,3471,8223,10696,11085,10779,11047,10550,10054,11114,10708,10882,10609,11028,11065,4963,23,51,56,17,46,68,22,45,65,25,31,30,23,14,46,15,19,2,17,20,11,12,10,10,16,31
6557,0,0,0,0,0,0,51,84,164,1132,335,335,493,76,138,4994,5159,6032,3937,3865,3783,3457,6664,3172,269,30,6904,16416,21385,26924,25167,23411,22206,20069,22203,21416,21778,21342,22156,22234,10018,91,57,79,45,28,107,123,55,78,42,48,30,42,41,67,17,33,7,21,18,30,13,22,18,50,78
6558,0,0,0,0,0,0,0,0,0,2094,2996,2996,174,87,47,125,1080,209,737,48,68,50,352,74,89,2,3510,8281,10726,11133,10837,11000,11147,10076,11145,10741,10938,10798,11154,8096,5039,15,41,81,29,26,120,65,83,86,36,52,32,45,48,57,18,11,3,17,14,19,17,12,19,21,56
6723,41,14,198,171,264,264,423,1065,1315,1638,2204,2204,2413,3111,4643,5593,4820,4659,7369,6024,7543,6581,6802,6914,10631,12195,10388,10315,7500,7387,8482,7349,8527,9297,10235,10746,12780,10938,11015,10737,12228,14619,13762,11864,14578,15601,14005,15999,14367,14273,14641,13749,16050,16451,13754,18792,16384,18483,19305,18673,20529,23278,24154,23938,22360,20782,18206
6983,0,0,0,0,0,0,0,0,0,83,37,37,43,3463,3963,2677,8606,12006,8970,9802,10634,8456,8864,10101,10004,8441,8892,6012,13,34,15,10,20,28,30,13,21,12,30,14,6,22,23,21,13,6,30,18,32,25,13,12,19,11,9,16,6,4,2,12,15,5,3,12,8,6,20
6984,0,0,0,0,0,0,0,0,0,53,29,29,34,3346,3952,2672,8587,12000,8961,9792,10623,8457,8845,10088,9997,8427,8912,6002,8,21,12,3,17,15,18,10,12,7,9,12,5,6,11,22,8,3,24,13,9,19,9,9,6,15,14,11,5,7,4,13,6,7,5,10,7,8,10
7044,3917,3229,2087,1114,1364,1364,1157,1160,1154,1261,1735,1735,1325,1438,1308,1550,1414,1508,1407,1228,1440,1700,2297,2598,3446,3949,4768,6813,10504,13301,17230,12725,16129,17240,24694,28198,30396,44435,47901,62096,57826,63005,69384,71831,112236,143123,168641,189306,182169,187232,195633,236388,338112,304094,333241,525021,402196,515853,536024,594379,698874,731825,825838,869451,942298,956535,970773
7282,59,565,840,716,1096,1096,1243,1385,1834,1932,2662,2662,2406,2728,3748,3512,2624,3347,2456,2778,4039,4026,4334,4053,4434,4086,5140,9824,7367,9975,7191,7629,5753,5423,6714,7843,10368,13963,15745,16488,15247,19006,14289,13909,12857,12767,12949,13995,10451,13915,17050,16232,17477,17947,24837,25110,22710,28638,27164,27145,27127,24003,21526,14310,15551,14815,11882
7668,766,785,927,811,1517,1517,2926,2571,2281,2427,2893,2893,13327,18009,16336,17839,19910,16748,10254,8133,9324,12214,14968,13268,21834,15782,20049,19428,20254,25052,38844,37919,43934,52689,76253,76675,88895,84778,100319,115969,123962,165581,168980,144917,197640,222539,208811,216750,229029,233536,258918,267170,312027,293445,271948,332328,350118,421418,412377,403337,386809,379542,372205,403789,370117,330844,278650
7752,0,218,119,1166,6418,6418,469,231,303,404,505,505,148,71,96,290,172,212,167,104,127,133,227,307,264,1943,1485,6486,2143,2240,5016,3513,5757,6087,7615,3786,8592,9950,10434,11044,6931,3521,3753,3469,1997,3364,1613,2158,1104,1579,1079,908,992,951,569,589,502,604,465,693,657,489,543,678,610,518,470
7753,166,201,144,1182,6421,6421,434,222,336,412,488,488,150,65,106,288,169,208,164,105,125,174,195,199,243,2000,1365,5745,1842,2344,5137,3653,5694,6217,7962,4024,9024,10290,10539,11150,6993,3577,3800,3499,1812,1940,1380,2122,1339,1451,1000,779,952,907,527,553,449,561,444,538,566,447,511,539,600,477,467
7900,6207,6339,6130,10042,6451,6451,5657,5954,10951,9793,10473,10473,21821,18924,12572,10449,11092,12838,11744,15247,21939,21256,25975,17856,20448,38722,61395,59019,43764,36257,32786,31350,36448,38423,49422,45917,53739,62541,41947,33303,34126,45920,36324,36730,63927,56673,60863,61105,65912,80752,69757,66790,79920,81156,70663,74650,69963,82282,85729,72201,74179,80661,85939,89630,86925,84220,68552
7939,0,0,0,0,0,0,0,0,148,257,134,134,259,195,635,1013,1167,1828,4646,4455,6565,6042,7121,8410,10872,10214,10585,12436,10017,11053,11973,14508,19036,16689,17941,19017,62352,154881,172842,196334,195621,260357,216474,185373,235665,269056,264206,285491,253652,294903,285539,334885,393546,347398,331545,366090,397154,462480,462560,453767,461770,539751,573230,607784,592489,577195,539410
8495,0,0,0,0,0,0,0,0,309,325,102,102,276,96,135,179,279,595,340,211,836,4736,646,591,445,472,767,847,760,967,1122,1129,1475,2052,1665,1750,1613,1957,2167,3172,3620,4583,3337,3071,2920,3142,3491,4198,5057,4615,5345,5019,5686,5177,5076,5874,4415,7535,8822,10109,8817,8426,7433,5010,5325,4386,3729
8579,0,0,0,7,0,0,0,0,0,83,24,24,47,24,30,59,129,101,119,134,67,135,615,608,955,1368,1415,1685,799,803,1122,1181,1742,1247,970,1206,1026,596,519,487,373,599,658,1669,467,615,746,671,878,1530,1408,1581,1659,978,1026,2274,2477,2981,4417,4385,5378,10267,6717,2898,7503,9600,9733
8876,4586,3948,4250,4372,5209,5209,5331,5641,7107,7144,7417,7417,8551,8725,7834,9162,9017,10720,12858,16943,12107,10487,11531,10570,11352,12181,11392,11315,12684,13572,15023,12942,14739,13850,19419,16309,20007,15668,18255,16055,14027,11803,11470,9073,11752,11447,10686,10902,16045,21189,9479,10237,14302,9080,10579,13295,11060,13095,10930,11879,8944,9878,10205,9733,9467,7635,6889
9552,0,0,0,0,0,0,134,162,913,297,453,453,997,863,903,1007,872,853,763,549,581,508,557,362,598,970,938,911,1239,1418,1911,1663,1965,2771,3782,3496,3753,3500,4448,4602,3575,3446,2887,2315,2893,3069,6300,5526,3242,2417,2432,2716,2162,1002,2925,9386,10243,10749,11255,6968,5231,6718,5292,4258,4053,2791,2188
9665,280,99,162,107,85,85,111,183,222,420,453,453,445,375,518,776,545,1034,2153,1656,1339,3035,2549,2270,2711,2316,2631,2455,1889,1767,1940,1019,1299,1297,1961,2523,2713,4064,2144,1551,2532,1926,2554,2733,5973,4518,3546,5500,6468,6591,6373,6078,6778,6586,6903,5710,5075,7459,9843,7068,6774,8660,5468,6313,2294,71,73
9807,20646,15477,13735,10932,10826,10826,7935,9409,9000,9815,11049,11049,12423,15224,10093,11893,10990,12258,12320,14460,16691,15629,20055,20426,17007,19139,24791,28913,22261,27217,24745,19464,26542,29904,23428,19294,19966,19111,19883,22575,18783,20779,18833,19499,20178,21771,76088,51859,25245,22527,20641,23865,34005,32782,30500,38448,39337,42771,49251,52944,70804,98308,92752,87196,61843,69676,88905
10234,0,42,290,1104,1562,1562,1512,1098,1467,1355,1565,1565,1701,2160,1927,2830,3115,3151,3122,2554,3777,4234,4669,4231,4903,5068,4843,4878,5057,7588,7829,6580,7198,5110,6640,6234,5868,5574,5983,13185,11363,10156,10736,10477,12232,15220,10860,11213,11910,12551,12681,12588,12659,11234,10579,12442,12264,14702,16135,15239,12544,12794,10405,12763,13693,12684,11595
10367,2394,3679,10571,18433,16649,16649,20011,26275,33817,24838,4337,4337,7267,7292,6137,95821,90044,84267,73107,64502,46630,10625,7718,5927,6239,8160,8036,9315,9079,9333,7354,6053,9432,9428,10465,9724,14407,18644,17939,19171,15642,4282,3392,5380,3727,4718,4066,5447,3430,5336,6131,9683,7214,7866,6503,7107,10084,5295,5146,3723,8121,5518,3986,3124,3280,2834,2487
10413,6493,5146,2574,2869,2545,2545,3248,1999,2096,2168,5185,5185,8172,2085,2596,3367,2254,2595,3394,2173,2083,2734,3003,2457,2406,2200,2192,3009,2692,3696,4128,2894,2817,4881,5042,4849,4627,6340,5832,5276,2695,3207,3617,2056,1430,1588,1871,3742,3823,3234,2097,1324,1349,1298,1146,1611,2592,1760,1568,1095,872,484,627,412,392,351,500
10623,0,0,0,0,0,0,578,399,325,510,860,860,828,976,1143,778,541,623,523,298,382,379,456,353,438,932,1250,1383,16365,31348,35840,30246,34947,36364,19364,14254,14640,14322,14659,15328,14511,15246,12716,10360,8438,7919,7171,7906,6323,6560,5313,3649,1667,1642,1634,2582,1247,1805,1257,1594,1084,1351,1626,1253,775,951,847
10762,11923,12493,14461,14505,11170,11170,12331,12040,13816,12630,11377,11377,9234,9960,8820,10428,11857,10283,9672,7749,10531,10788,12350,10846,9825,10232,14784,18344,13203,12761,19533,10804,12682,13489,13109,12377,12200,12402,17527,19891,16272,20882,22812,22995,31288,42721,30952,13946,14276,15884,14953,12654,17373,15936,13045,15535,18114,24037,31949,34219,55991,38791,36435,32770,36377,42105,47833
10778,757,1107,1306,1171,1345,1345,1665,1643,2638,3795,3660,3660,5619,5457,5372,8643,6274,5436,6058,4681,4891,6322,8674,8299,7405,8451,7875,8682,6655,8625,10050,7722,8674,9559,10084,10592,11916,13376,14973,12675,11736,15153,17237,15309,19111,25259,33795,25250,21052,24543,20946,22110,25869,22103,20050,25282,20724,28407,25814,26224,32969,30679,27194,33451,34178,34905,32898
11178,4000,3818,3769,4084,4292,4292,4314,4202,6631,7597,9566,9566,7576,8225,8958,8543,7284,8438,7503,6569,6753,5918,10074,5805,5393,5757,6960,7724,4061,4104,3964,3560,5243,4620,4661,4136,3918,4346,5190,6238,5323,5682,5464,4693,3866,4032,5057,6600,3734,7798,4639,5905,8028,7330,6344,3978,3766,4650,5719,6164,6368,6396,4598,4618,4303,3346,3835
11339,77,108,154,185,240,240,230,385,349,435,273,273,450,289,300,253,292,625,650,294,275,422,438,408,562,355,411,487,283,699,760,569,470,464,526,648,706,891,1079,1453,1670,7732,22145,21409,4150,9530,4828,5185,6472,16084,10563,8026,33106,58186,3473,3098,3733,4487,8632,8757,12372,24679,15820,4440,3455,2801,2928
11410,143,142,234,153,200,200,833,1692,2282,1657,1382,1382,1159,1650,1849,2129,1318,1084,1497,939,928,823,826,618,1028,583,1006,1101,5568,752,826,452,528,546,604,757,947,1387,2326,3107,3513,5428,4229,6101,4095,5251,5223,5898,7071,7071,7684,9773,6986,5587,5301,7755,8528,7924,3035,9651,10527,9486,8445,6586,7667,4706,3936
11430,1858,1594,1442,1408,1854,1854,2013,2228,4408,6060,6782,6782,8130,9504,8398,10142,9017,7893,5826,5217,5029,5199,4315,2836,2942,3058,3474,3987,4082,7557,8562,5290,5382,4390,4923,6139,4301,4247,3196,1644,1593,1471,1881,1869,2932,2428,2424,2299,1636,1691,2041,1958,4511,6429,4573,3083,1853,2019,2824,3735,3870,4166,4440,5615,5662,5070,4925
11552,3602,3977,4703,5201,4246,4246,3295,2498,613,675,493,493,471,363,367,335,403,457,429,373,288,301,463,377,266,356,424,332,253,627,545,484,466,702,854,603,756,860,754,1079,1079,874,1074,1351,957,775,1148,1572,1072,1135,1317,1476,1378,1009,2815,9490,10079,16424,11471,6867,5583,6789,5547,5510,5012,3108,2442
11958,0,0,264,2043,3994,3994,6896,7646,8906,9038,9950,9950,10221,10683,11145,11623,10915,10005,8786,6745,6527,5942,6833,4608,4283,3241,2318,2227,1701,1945,3122,1620,1196,1181,1647,1092,1728,1990,1568,1449,1309,1663,1261,1278,753,865,1372,2987,886,2084,1001,604,873,424,405,399,578,736,971,910,446,420,579,1055,1488,1600,2294
11964,3097,5736,5644,5548,6022,6022,5314,5548,5861,7189,8790,8790,7408,9298,9328,11650,10951,9626,10302,7530,8660,7647,11902,16794,17482,15137,15982,11827,9836,7233,4564,4540,5100,4845,4788,4198,4662,5224,4742,14559,4866,6173,4953,4499,6384,8166,8247,7238,6350,7657,6506,7715,9277,7267,5257,4955,5351,6166,5913,6282,5786,5698,4417,4885,5308,3702,3968
12068,0,0,0,0,0,0,35,3424,13699,14122,13001,13001,11880,12049,10573,11956,11766,10611,9868,8341,8663,6844,6731,4898,5966,5864,5298,5118,4913,4751,4458,3770,4180,3640,4056,3659,3720,4273,4245,4277,3670,4848,4262,3417,3380,3582,4328,4245,3080,2991,3435,4008,4389,3691,3335,5397,3827,4583,4702,4879,4539,5234,5395,5546,6295,6527,4973
12107,0,0,174,320,235,235,1080,1363,2086,4215,3370,3370,2562,3215,3177,3416,4585,5541,9409,10946,12674,10314,9373,9484,9462,9159,8800,12176,11386,13038,14250,15614,21296,19983,18670,14670,13068,11047,9408,8618,8461,14116,7895,7260,3997,3103,3455,3766,3466,3373,3764,2603,2755,2346,1452,1638,1853,1398,1577,925,1175,1309,1151,1149,1504,1412,1708
12460,444,697,865,723,629,629,695,1213,1348,1888,925,925,1442,2037,1965,1422,1382,2008,3327,2027,2318,2476,3765,5783,7027,6235,5080,5508,5741,7011,4241,4418,5480,5297,6507,6944,8150,6593,8393,8682,7363,10944,10511,8858,10775,10067,9693,9998,9153,9616,10080,9301,9857,10174,9305,9774,10364,10829,7785,7655,7693,7285,7078,9640,7239,5154,6463
12651,0,0,0,0,0,0,0,0,0,7485,9538,9538,14583,18275,19881,27242,18395,9549,7279,4894,3967,3673,4128,3361,3254,3339,2896,2467,2585,2386,2211,1983,1823,1838,1766,2074,1991,2138,2996,11768,12587,17048,18736,12866,14521,14086,17387,16474,13097,13404,12624,4308,5170,6147,5844,10419,13039,15224,14716,14580,12700,13180,9850,11944,9417,8186,11978
12654,1326,1092,958,1211,1671,1671,2297,1754,2550,3177,4331,4331,3939,2712,3204,3702,4779,4635,5267,4580,6071,7073,10286,8737,8462,10557,8307,6515,6676,7456,7343,6641,6370,7041,7108,6389,6996,7991,7554,9541,8977,9286,9760,7078,9034,10244,12049,11133,10391,9258,9728,10454,14069,21372,17576,20542,22346,21367,15182,16403,23856,19385,16061,26182,20054,25233,30412
