hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi
3417,1604,1581,2508,2377,2041,2041,3569,2174,2067,3856,4930,4930,3954,3077,2662,3909,3587,3740,4019,3312,5419,5056,4318,4123,4450,4227,5195,8696,4724,5109,3952,2846,2787,2827,3410,3515,3445,4164,5784,10065,11543,9892,8253,19403,28445,27279,26113,12907,17121,19858,11818,7214,7076,5336,5282,5789,5492,5390,5846,6118,6252,7317,5413,5280,5079,5336,4440
4408,60,9,27,18,6,6,18,15,28,18,17,17,21,16,9,16,24,39,29,13,10,11,13,16,69,46,37,28,14,37,53,18,207,3474,7517,6192,5228,6026,6218,8137,9466,14651,12440,10545,16966,18929,17252,17793,19204,33061,32752,29472,35388,32214,36870,42137,45271,47209,54713,49639,53386,60804,61868,61875,61882,59198,56881
4617,654,1281,2609,4902,2123,2123,1700,1075,2209,1713,2082,2082,1520,1516,1957,2047,2579,2895,3074,3944,4010,3897,6142,5153,4569,4584,3952,3224,2799,3668,3532,3753,4816,3341,3949,8168,9012,6963,8587,10408,10422,11161,18827,13274,8213,9950,6085,11114,10131,14505,12570,9841,8987,7358,7784,6482,4135,6732,7784,6543,4483,5709,5101,3939,3672,4994,3248
4657,350,349,637,579,618,618,1252,1195,1436,1722,2397,2397,2825,3560,2110,3148,2817,2837,3753,2680,2523,3204,4300,3705,4248,4766,4100,5301,5573,6694,8106,8323,11299,10412,13307,12311,10369,11195,10482,12585,11817,13368,17910,20048,15619,17516,19386,18406,19187,20765,20129,20702,24642,22139,17610,17132,15956,18559,18327,15717,15440,16378,17383,15535,15613,17640,14650
5625,8953,9467,9868,8884,10944,10944,10525,10385,10584,12077,15642,15642,10217,10293,10724,11296,9778,12013,11966,11328,12725,16102,19876,14113,14821,15547,17079,14816,10743,12838,11322,9662,12315,10761,13594,13253,15194,25271,27512,29726,25529,30670,31982,26374,35191,45057,49333,53489,45371,53518,41746,43622,45152,45787,40497,51110,52097,50612,49127,44177,41606,45395,46495,50312,52033,54296,50957
5636,76,32,36,102,104,104,128,201,246,203,91,91,801,1225,390,745,273,408,482,454,1058,852,1283,1432,1910,1622,1701,2296,2954,2730,3101,3822,6234,4938,5294,7128,6720,6675,7152,5483,5903,8164,6394,8323,8873,8041,7036,7377,10136,13081,13445,12598,13973,13669,11649,12837,15131,19645,15836,13706,18796,22538,24548,33564,33103,32643,33497
5833,4638,8239,8385,8531,7617,7617,11737,8012,8839,7873,5947,5947,4244,4495,3398,2757,3076,3186,3027,3562,3131,3727,4977,4424,4079,4004,4648,3184,667,640,907,754,1827,4547,4892,4424,2182,838,968,894,1774,1440,1408,1693,3003,2055,2212,4076,3951,5278,3877,4508,5647,7367,6865,6423,5928,5643,6324,7648,10815,9452,9225,9108,10180,11740,11050
5889,48,33,40,67,58,58,150,219,306,336,433,433,386,465,806,1689,1623,1873,1940,2026,2895,2770,3409,3491,3384,3294,3601,4331,5343,6562,6924,5388,9119,10138,9022,8172,10139,8846,10500,10706,10285,12097,10276,8456,9998,8592,9235,7667,6429,7238,6405,7818,9772,7036,6180,6856,6459,7247,6421,5686,6005,5985,4800,5140,6053,4959,4216
6194,217,106,429,782,662,662,361,642,202,321,528,528,551,635,1098,1447,1771,1209,1726,2991,5502,3836,2886,4092,2982,3333,2461,2609,2851,3928,4003,3596,5038,5304,12881,16069,16458,16847,2615,2676,2857,3764,4271,6914,5733,12160,11768,10945,6226,5189,9152,9678,9898,8755,4740,7172,5665,5718,6473,6442,6989,7696,7362,10262,8692,7877,7180
6330,94,90,38,42,58,58,6599,3712,5296,9988,9518,9518,9048,5793,4944,1409,319,190,111,258,2229,2273,1695,1519,1972,1743,1116,1439,1596,1787,1301,1155,1363,1437,1907,2008,1821,1432,1212,1074,1771,1385,1609,1073,1164,1629,973,1392,963,1157,853,422,508,328,305,304,181,141,212,203,144,185,114,124,139,97,107
6412,73,18,46,93,254,254,667,1413,4614,5378,7178,7178,8887,7678,9061,8581,9803,10230,10350,8066,8185,10651,15467,15836,20748,22414,31029,33357,48658,64405,67568,70518,82780,122944,170602,170612,189514,200713,216066,244635,254391,309247,307966,269015,361644,390447,408227,443603,421805,462821,462615,478336,582022,596581,507329,589049,627187,728705,736187,730265,774105,850195,783487,835695,836287,836880,805050
6413,76,51,111,2186,2603,2603,3607,3296,2852,5019,7558,7558,9336,7953,9078,9353,7738,8368,10333,8411,8813,10097,15773,16135,21220,22954,31503,34115,49326,64657,68376,71069,83232,124918,172245,171809,190612,201712,218436,247236,256448,312173,312348,272117,370753,394158,410810,446775,423835,462077,460719,476079,578474,593156,503562,584014,624713,721962,734023,732222,773016,848771,781778,833827,834391,834956,802753
6416,1652,1578,1605,2076,2832,2832,2979,2251,692,4172,3319,3319,1936,1581,1273,2539,2024,3471,3569,3227,5106,4701,8294,7770,8097,6393,7462,7138,8781,10108,11004,10427,12050,12326,17382,15859,16675,19762,22134,24699,23889,27891,42371,42129,46918,51367,56028,65541,55715,70811,71695,64705,75248,66330,58193,57524,55851,72420,84213,82245,82185,82125,81521,88029,91429,92361,84808
6418,1687,1619,1642,1566,1784,1784,2631,2018,331,4009,3036,3036,1930,1550,1266,2523,2000,3314,3439,3136,4983,4580,8184,7714,7953,6323,7376,7093,8621,9930,10917,10387,11996,12313,17319,15831,16571,19714,22135,24710,23919,27874,42442,42161,47549,51460,56019,65516,55724,71112,71701,64735,75241,66346,58172,57504,55889,72416,84230,82275,82220,82165,81558,88044,91404,92258,84611
6450,1633,1564,1581,1448,1678,1678,2548,1960,324,3898,3003,3003,1915,1556,1271,2576,2111,3334,3445,3152,4989,4708,8264,7814,7999,6314,7358,7071,8626,9946,10868,10352,11992,12277,17339,15885,16627,19739,22123,24692,23903,27901,42370,42157,47291,51389,56008,65604,55720,71098,71699,64738,75240,66346,58170,57494,55836,72406,84220,82218,82206,82195,81583,88145,91461,92320,84597
6509,451,655,421,565,335,335,512,343,1350,1548,2160,2160,2967,4098,6839,6886,6872,8599,10299,10886,14204,18642,25001,27227,31371,30334,33088,37554,37870,49812,51320,51753,64285,71625,95563,97578,100222,114362,128840,137380,133399,162817,181317,131516,140343,159170,227703,236079,197167,219258,230416,238348,319657,336621,282239,319943,338989,394213,402340,451192,514783,565151,496754,525956,541715,557475,534340
6797,8225,7446,7572,7945,13998,13998,6340,6410,8425,8747,6555,6555,11675,13545,9468,12875,14567,8680,8709,5337,7250,10138,11826,7836,9457,12336,12278,10496,10999,17727,19335,20944,14839,13518,14227,14115,18712,19544,21683,14217,10786,11563,13958,11497,12588,13072,14061,14956,10714,11445,9810,7738,12007,12664,10922,9883,7346,9370,8919,7754,7857,8833,7244,9482,7865,8382,8791
